yaml_id,base_depth,f_FH_target,f_WS_target,inf_ratio,success_rate_pct,n_eval,n_FH,n_WS,n_MISS
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh70_ws20_quantile,5,0.7,0.2,0.3836,63.0,7261,3888,2351,1022
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh50_ws40_quantile,5,0.5,0.4,0.4795,73.0,6704,2710,3117,877
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh60_ws20_quantile,5,0.6,0.2,0.4827,68.0,6995,3169,1799,2027
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh70_ws10_quantile,5,0.7,0.1,0.5039,74.0,6729,2976,1449,2304
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh50_ws20_quantile,5,0.5,0.2,0.5112,76.0,6529,2862,1317,2350
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh60_ws30_quantile,5,0.6,0.3,0.5238,79.0,6340,2147,3488,705
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh60_ws5_quantile,5,0.6,0.05,0.5452,61.0,7306,3239,336,3731
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh40_ws30_quantile,5,0.4,0.3,0.5462,80.0,6394,2469,1730,2195
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh70_ws5_quantile,5,0.7,0.05,0.5725,72.0,7042,2884,506,3652
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh60_ws10_quantile,5,0.6,0.1,0.6066,82.0,6143,2219,790,3134
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh40_ws10_quantile,5,0.4,0.1,0.6246,76.0,6349,2274,437,3638
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh30_ws40_quantile,5,0.3,0.4,0.6447,74.0,6612,1796,2212,2604
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh50_ws30_quantile,5,0.5,0.3,0.6522,80.0,6227,1428,2952,1847
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh25_ws30_quantile,5,0.25,0.3,0.6626,84.0,6072,1672,1507,2893
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh40_ws5_quantile,5,0.4,0.05,0.6676,72.0,6722,2175,238,4309
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh20_ws40_quantile,5,0.2,0.4,0.6731,79.0,6100,1469,2101,2530
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh40_ws40_quantile,5,0.4,0.4,0.6733,84.0,5945,1166,3105,1674
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh30_ws20_quantile,5,0.3,0.2,0.6894,76.0,6559,1801,946,3812
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh50_ws10_quantile,5,0.5,0.1,0.7071,82.0,6018,1598,658,3762
